성서번호	성서	장	절	문장
1	창세기	2	13	"둘째 강줄기의 이름은 기혼이라 하는데, 구스 온 땅을 돌아 흐르고 있었다."
1	창세기	2	14	"셋째 강줄기의 이름은 티그리스라 하는데, 아시리아 동쪽으로 흐르고 있었고, 넷째 강줄기의 이름은 유프라테스라고 하였다."
1	창세기	2	15	야훼 하느님께서 아담을 데려다가 에덴에 있는 이 동산을 돌보게 하시며
1	창세기	2	16	"이렇게 이르셨다. ""이 동산에 있는 나무 열매는 무엇이든지 마음대로 따먹어라."
1	창세기	2	17	"그러나 선과 악을 알게 하는 나무 열매만은 따먹지 마라. 그것을 따먹는 날, 너는 반드시 죽는다."""
1	창세기	2	18	"야훼 하느님께서는 ""아담이 혼자 있는 것이 좋지 않으니, 그의 일을 거들 짝을 만들어주리라."" 하시고,"
1	창세기	2	19	"들짐승과 공중의 새를 하나하나 진흙으로 빚어 만드시고, 아담에게 데려다 주시고는 그가 무슨 이름을 붙이는가 보고 계셨다. 아담이 동물 하나하나에게 붙여준 것이 그대로 그 동물의 이름이 되었다."
1	창세기	2	20	이렇게 아담은 집짐승과 공중의 새와 들짐승의 이름을 붙여주었지만 그 가운데는 그의 일을 거들 짝이 보이지 않았다.
1	창세기	2	21	"그래서 야훼 하느님께서 아담을 깊이 잠들게 하신 다음, 아담의 갈빗대를 하나 뽑고 그 자리를 살로 메우시고는"
1	창세기	2	22	"그 갈빗대로 여자를 만드신 다음, 아담에게 데려오시자"
1	창세기	2	23	"아담은 이렇게 외쳤다. ""드디어 나타났구나! 내 뼈에서 나온 뼈요, 내 살에서 나온 살이로구나. 지아비에게서 나왔으니 지어미라고 부르리라!"""
1	창세기	2	24	이리하여 남자는 어버이를 떠나 아내와 어울려 한 몸이 되게 되었다.
1	창세기	2	25	아담 내외는 알몸이면서도 서로 부끄러운 줄을 몰랐다.
1	창세기	3	1	"야훼 하느님께서 만드신 들짐승 가운데 제일 간교한 것이 뱀이었다. 그 뱀이 여자에게 물었다. ""하느님이 너희더러 이 동산에 있는 나무 열매는 하나도 따먹지 말라고 하셨다는데 그것이 정말이냐?"""
1	창세기	3	2	"여자가 뱀에게 대답하였다. ""아니다. 하느님께서는 이 동산에 있는 나무 열매는 무엇이든지 마음대로 따먹되,"
1	창세기	3	3	"죽지 않으려거든 이 동산 한가운데 있는 나무 열매만은 따먹지도 말고 만지지도 말라고 하셨다."""
1	창세기	3	4	"그러자 뱀이 여자를 꾀었다. ""절대로 죽지 않는다."
1	창세기	3	5	"그 나무 열매를 따먹기만 하면 너희의 눈이 밝아져서 하느님처럼 선과 악을 알게 될 줄을 하느님이 아시고 그렇게 말하신 것이다."""
1	창세기	3	6	"여자가 그 나무를 쳐다보니 과연 먹음직하고 보기에 탐스러울 뿐더러 사람을 영리하게 해줄 것 같아서, 그 열매를 따먹고 같이 사는 남편에게도 따주었다. 남편도 받아먹었다."
1	창세기	3	7	그러자 두 사람은 눈이 밝아져 자기들이 알몸인 것을 알고 무화과나무 잎을 엮어 앞을 가렸다.
1	창세기	3	8	날이 저물어 선들바람이 불 때 야훼 하느님께서 동산을 거니시는 소리를 듣고 아담과 그의 아내는 야훼 하느님 눈에 뜨이지 않게 동산 나무 사이에 숨었다.
1	창세기	3	9	"야훼 하느님께서 아담을 부르셨다. ""너 어디 있느냐?"""
1	창세기	3	10	"아담이 대답하였다. ""당신께서 동산을 거니시는 소리를 듣고 알몸을 드러내기가 두려워 숨었습니다."""
1	창세기	3	11	네가 알몸이라고 누가 일러주더냐? 내가 따먹지 말라고 일러둔 나무 열매를 네가 따먹었구나! 하느님께서 이렇게 말씀하시자
1	창세기	3	12	"아담은 핑계를 대었다. ""당신께서 저에게 짝지어 주신 여자가 그 나무에서 열매를 따주기에 먹었을 따름입니다."""
1	창세기	3	13	"야훼 하느님께서 여자에게 물으셨다. ""어쩌다가 이런 일을 했느냐?"" 여자도 핑계를 대었다. ""뱀에게 속아서 따먹었습니다."""
1	창세기	3	14	"야훼 하느님께서 뱀에게 말씀하셨다. ""네가 이런 일을 저질렀으니 온갖 집짐승과 들짐승 가운데서 너는 저주를 받아, 죽기까지 배로 기어 다니며 흙을 먹어야 하리라."
1	창세기	3	15	"나는 너를 여자와 원수가 되게 하리라. 네 후손을 여자의 후손과 원수가 되게 하리라. 너는 그 발꿈치를 물려고 하다가 도리어 여자의 후손에게 머리를 밟히리라."""
1	창세기	3	16	"그리고 여자에게는 이렇게 말씀하셨다. ""너는 아기를 낳을 때 몹시 고생하리라. 고생하지 않고는 아기를 낳지 못하리라. 남편을 마음대로 주무르고 싶겠지만, 도리어 남편의 손아귀에 들리라."""
1	창세기	3	17	"그리고 아담에게는 이렇게 말씀하셨다. ""너는 아내의 말에 넘어가 따먹지 말라고 내가 일찍이 일러둔 나무 열매를 따먹었으니, 땅 또한 너 때문에 저주를 받으리라. 너는 죽도록 고생해야 먹고 살리라."
1	창세기	3	18	"들에서 나는 곡식을 먹어야 할 터인데, 땅은 가시덤불과 엉겅퀴를 내리라."
1	창세기	3	19	"너는, 흙에서 난 몸이니 흙으로 돌아가기까지 이마에 땀을 흘려야 낟알을 얻어먹으리라. 너는 먼지이니 먼지로 돌아가리라."""
1	창세기	3	20	아담은 아내를 인류의 어머니라 해서 하와라고 이름지어 불렀다.
1	창세기	3	21	야훼 하느님께서는 가죽옷을 만들어 아담과 그의 아내에게 입혀주셨다.
1	창세기	3	22	"야훼 하느님께서는 '이제 이 사람이 우리들처럼 선과 악을 알게 되었으니, 손을 내밀어 생명나무 열매까지 따먹고 끝없이 살게 되어서는 안 되겠다.'고 생각하시고"
1	창세기	3	23	에덴 동산에서 내쫓으셨다. 그리고 땅에서 나왔으므로 땅을 갈아 농사를 짓게 하셨다.
1	창세기	3	24	이렇게 아담을 쫓아내신 다음 하느님은 동쪽에 거룹들을 세우시고 돌아가는 불칼을 장치하여 생명나무에 이르는 길목을 지키게 하셨다.
1	창세기	4	1	"아담이 아내 하와와 한자리에 들었더니 아내가 임신하여 카인을 낳고 이렇게 외쳤다. ""야훼께서 나에게 아들을 주셨구나!"""
1	창세기	4	2	"하와는 또 카인의 아우 아벨을 낳았는데, 아벨은 양을 치는 목자가 되었고 카인은 밭을 가는 농부가 되었다."
1	창세기	4	3	때가 되어 카인은 땅에서 난 곡식을 야훼께 예물로 드렸고
1	창세기	4	4	아벨은 양떼 가운데서 맏배의 기름기를 드렸다. 그런데 야훼께서는 아벨과 그가 바친 예물은 반기시고
1	창세기	4	5	카인과 그가 바친 예물은 반기지 않으셨다. 카인은 고개를 떨어뜨렸다. 몹시 화가 나 있었다. 야훼께서 이것을 보시고
1	창세기	4	6	"카인에게 말씀하셨다. ""너는 왜 그렇게 화가 났느냐? 왜 고개를 떨어뜨리고 있느냐?"
1	창세기	4	7	"네가 잘했다면 왜 얼굴을 쳐들지 못하느냐? 그러나 네가 만일 마음을 잘못 먹었다면, 죄가 네 문 앞에 도사리고 앉아 너를 노릴 것이다. 그러므로 너는 그 죄에 굴레를 씌워야 한다."""
1	창세기	4	8	그러나 카인은 아우 아벨을 들로 가자고 꾀어 들로 데리고 나가서 달려들어 아우 아벨을 쳐죽였다.
1	창세기	4	9	"야훼께서 카인에게 물으셨다. ""네 아우 아벨이 어디 있느냐?"" 카인은 ""제가 아우를 지키는 사람입니까?"" 하고 잡아떼며 모른다고 대답하였다."
1	창세기	4	10	"그러나 야훼께서는 ""네가 어찌 이런 일을 저질렀느냐?"" 하시면서 꾸짖으셨다. ""네 아우의 피가 땅에서 나에게 울부짖고 있다."
1	창세기	4	11	땅이 입을 벌려 네 아우의 피를 네 손에서 받았다. 너는 저주를 받은 몸이니 이 땅에서 물러나야 한다.
1	창세기	4	12	"네가 아무리 애써 땅을 갈아도 이 땅은 더 이상 소출을 내지 않을 것이다. 너는 세상을 떠돌아다니는 신세가 될 것이다."""
1	창세기	4	13	"그러자 카인이 야훼께 하소연하였다. ""벌이 너무 무거워서, 저로서는 견디지 못하겠습니다."
1	창세기	4	14	"오늘 이 땅에서 저를 아주 쫓아내시니, 저는 이제 하느님을 뵙지 못하고 세상을 떠돌아다니게 되었습니다. 저를 만나는 사람마다 저를 죽이려고 할 것입니다."""
1	창세기	4	15	그렇게 못하도록 하여주마. 카인을 죽이는 사람에게는 내가 일곱 갑절로 벌을 내리리라. 이렇게 말씀하시고 야훼께서는 누가 카인을 만나더라도 그를 죽이지 못하도록 그에게 표를 찍어주셨다.
1	창세기	4	16	카인은 하느님 앞에서 물러나와 에덴 동쪽 놋이라는 곳에 자리를 잡았다.
1	창세기	4	17	"카인이 아내와 한자리에 들었더니, 아내가 임신하여 에녹을 낳았다. 카인은 제가 세운 고을을 아들의 이름을 따서 에녹이라고 불렀다."
1	창세기	4	18	"에녹에게서 이랏이 태어났고, 이랏은 므후야엘을, 므후야엘은 므두사엘을, 므두사엘은 라멕을 낳았다."
1	창세기	4	19	"라멕은 두 아내를 데리고 살았는데, 한 아내의 이름은 아다요, 또 한 아내의 이름은 실라였다."
1	창세기	4	20	아다가 낳은 야발은 장막에서 살며 양을 치는 목자들의 조상이 되었고
1	창세기	4	21	그의 아우 유발은 거문고를 뜯고 퉁소를 부는 악사의 조상이 되었으며
1	창세기	4	22	실라가 낳은 두발카인은 구리와 쇠를 다루는 대장장이가 되었다. 두발카인에게는 나아마라는 누이가 있었다.
1	창세기	4	23	"라멕이 아내들에게 말하였다. ""아다야, 실라야, 내 말을 들어라. 라멕의 아내들아, 내 말에 귀를 기울여라. 나를 해치지 마라. 죽여버리리라. 젊었다고 하여 나에게 손찌검을 하지 마라. 죽여버리리라."
1	창세기	4	24	"카인을 해친 사람이 일곱 갑절로 보복을 받는다면, 라멕을 해치는 사람은 일흔일곱 갑절로 보복을 받으리라."""
1	창세기	4	25	"아담이 다시 아내와 한자리에 들었더니 아내가 아들을 낳고는 ""하느님께서 카인에게 죽은 아벨 대신 이제 또 다른 아들을 주셨구나."" 하며 이름을 셋이라고 지어주었다."
1	창세기	4	26	셋도 아들을 얻고 이름을 에노스라고 지어 불렀다. 그 때 에노스가 비로소 야훼의 이름을 불러 예배하였다.
1	창세기	5	1	"아담의 계보는 이러하다. 하느님께서 사람을 지어내시던 날, 하느님께서는 당신 모습대로 사람을 만드시되"
1	창세기	5	2	남자와 여자로 지어내셨다. 그 날 하느님께서는 그들에게 복을 주시며 그 이름을 아담이라 지어주셨다.
1	창세기	5	3	아담은 백삼십 세에 자기 모습을 닮은 아들을 낳고 이름을 셋이라 하였다.
1	창세기	5	4	셋을 낳은 다음 아담은 팔백 년 동안 살면서 아들딸을 더 낳았다.
1	창세기	5	5	아담은 모두 구백삼십 년을 살고 죽었다.
1	창세기	5	6	셋은 백오 세에 에노스를 낳았다.
1	창세기	5	7	셋은 에노스를 낳은 다음 팔백칠 년 동안 살면서 아들딸을 더 낳았다.
1	창세기	5	8	셋은 모두 구백십이 년을 살고 죽었다.
1	창세기	5	9	에노스는 구십 세에 케난을 낳았다.
1	창세기	5	10	에노스는 케난을 낳은 다음 팔백십오 년 동안 살면서 아들딸을 더 낳았다.
1	창세기	5	11	에노스는 모두 구백오 년을 살고 죽었다.
1	창세기	5	12	케난은 칠십 세에 마할랄렐을 낳았다.
1	창세기	5	13	케난은 마할랄렐을 낳은 다음 팔백사십 년 동안 살면서 아들딸을 더 낳았다.
1	창세기	5	14	케난은 모두 구백십 년을 살고 죽었다.
1	창세기	5	15	마할랄렐은 육십오 세에 야렛을 낳았다.
1	창세기	5	16	마할랄렐은 야렛을 낳은 다음 팔백삼십 년 동안 살면서 아들딸을 더 낳았다.
1	창세기	5	17	마할랄렐은 모두 팔백구십오 년을 살고 죽었다.
1	창세기	5	18	야렛은 백육십이 세에 에녹을 낳았다.
1	창세기	5	19	야렛은 에녹을 낳은 다음 팔백 년 동안 살면서 아들딸을 더 낳았다.
1	창세기	5	20	야렛은 모두 구백육십이 년을 살고 죽었다.
1	창세기	5	21	에녹은 육십오 세에 므두셀라를 낳았다.
1	창세기	5	22	에녹은 므두셀라를 낳은 다음 삼백 년 동안 하느님과 함께 살면서 아들딸을 더 낳았다.
1	창세기	5	23	에녹은 모두 삼백육십오 년을 살았다.
1	창세기	5	24	에녹은 하느님과 함께 살다가 사라졌다. 하느님께서 데려가신 것이다.
1	창세기	5	25	므두셀라는 백팔십칠 세에 라멕을 낳았다.
1	창세기	5	26	므두셀라는 라멕을 낳은 다음 칠백팔십이 년 동안 살면서 아들딸을 더 낳았다.
1	창세기	5	27	므두셀라는 모두 구백육십구 년을 살고 죽었다.
1	창세기	5	28	라멕은 백팔십이 세에 아들을 낳고
1	창세기	5	29	"이름을 노아라고 지어주며 ""이 아들은 야훼께서 땅을 저주하시어 고생하며 일하던 우리를 한숨 돌리게 해주리라."" 하고 외쳤다."
1	창세기	5	30	라멕은 노아를 낳은 다음 오백구십오 년 동안 살면서 아들딸을 더 낳았다.
1	창세기	5	31	라멕은 모두 칠백칠십칠 년을 살고 죽었다.
1	창세기	5	32	노아가 셈과 함과 야벳을 낳았을 때의 나이는 오백 세였다.
1	창세기	6	1	땅 위에 사람이 불어나면서부터 그들의 딸들이 태어났다.
1	창세기	6	2	하느님의 아들들이 그 사람의 딸들을 보고 마음에 드는 대로 아리따운 여자를 골라 아내로 삼았다.
1	창세기	6	3	"그래서 야훼께서는 ""사람은 동물에 지나지 않으니 나의 입김이 사람들에게 언제까지나 머물러 있을 수는 없다. 사람은 백이십 년밖에 살지 못하리라."" 하셨다."
1	창세기	6	4	그 때 그리고 그 뒤에도 세상에는 느빌림이라는 거인족이 있었는데 그들은 하느님의 아들들과 사람의 딸들 사이에서 태어난 자들로서 옛날부터 이름난 장사들이었다.
1	창세기	6	5	야훼께서는 세상이 사람의 죄악으로 가득 차고 사람마다 못된 생각만 하는 것을 보시고
1	창세기	6	6	왜 사람을 만들었던가 싶으시어 마음이 아프셨다.
1	창세기	6	7	"야훼께서는 ""내가 지어낸 사람이지만, 땅 위에서 쓸어버리리라. 공연히 사람을 만들었구나. 사람뿐 아니라 짐승과 땅 위를 기는 것과 공중의 새까지 모조리 없애버리리라. 공연히 만들었구나!"" 하고 탄식하셨다."
1	창세기	6	8	그러나 노아만은 하느님의 마음에 들었다.
1	창세기	6	9	노아의 이야기는 이러하다. 그 당시에 노아만큼 올바르고 흠없는 사람이 없었다. 그는 하느님을 모시고 사는 사람이었다.
1	창세기	6	10	"노아는 셈과 함과 야벳, 이렇게 세 아들을 두었다."
1	창세기	6	11	하느님 보시기에 세상은 너무나 썩어 있었다. 그야말로 무법천지가 되어 있었다.
1	창세기	6	12	"하느님 보시기에 세상은 속속들이 썩어, 사람들이 하는 일이 땅 위에 냄새를 피우고 있었다."
1	창세기	6	13	"그래서 하느님께서는 노아에게 이렇게 말씀하셨다. ""세상은 이제 막판에 이르렀다. 땅 위는 그야말로 무법천지가 되었다. 그래서 나는 저것들을 땅에서 다 쓸어버리기로 하였다."
1	창세기	6	14	너는 전나무로 배 한 척을 만들어라. 배 안에 방을 여러 칸 만들고 안과 밖을 역청으로 칠하여라.
1	창세기	6	15	"그 배는 이렇게 만들도록 하여라. 길이는 삼백 자, 나비는 오십 자, 높이는 삼십 자로 하고,"
1	창세기	6	16	"또 배에 지붕을 만들어 한 자 치켜올려 덮고 옆에는 출입문을 내고, 상 중 하 삼층으로 만들어라."
1	창세기	6	17	내가 이제 땅 위에 폭우를 쏟으리라. 홍수를 내어 하늘 아래 숨 쉬는 동물은 다 쓸어버리리라. 땅 위에 사는 것은 하나도 살아 남지 못할 것이다.
1	창세기	6	18	그러나 나는 너와 계약을 세운다. 너는 네 아들들과 네 아내와 며느리들을 데리고 배에 들어가거라.
1	창세기	6	19	그리고 목숨이 있는 온갖 동물도 암컷과 수컷으로 한 쌍씩 배에 데리고 들어가 너와 함께 살아 남도록 하여라.
1	창세기	6	20	온갖 새와 온갖 집짐승과 땅 위를 기어 다니는 온갖 길짐승이 두 마리씩 너한테로 올 터이니 그것들을 살려주어라.
1	창세기	6	21	"그리고 너는 먹을 수 있는 온갖 양식을 가져다가 너와 함께 있는 사람과 동물들이 먹도록 저장해 두어라."""
1	창세기	6	22	노아는 모든 일을 하느님께서 분부하신 대로 하였다.
1	창세기	7	1	"야훼께서 노아에게 말씀하셨다. ""너는 네 식구들을 다 데리고 배에 들어가거라. 내가 보기에 지금 이 세상에서 올바른 사람은 너밖에 없다."
1	창세기	7	2	"깨끗한 짐승은 종류를 따라 암컷과 수컷으로 일곱 쌍씩, 부정한 짐승은 암컷과 수컷으로 두 쌍씩,"
1	창세기	7	3	"공중의 새도 암컷과 수컷으로 일곱 쌍씩 배에 데리고 들어가, 온 땅 위에서 각종 동물의 씨가 마르지 않도록 하여라."
1	창세기	7	4	"이제 이레가 지나면, 사십 일 동안 밤낮으로 땅에 비를 쏟아, 내가 만든 모든 생물들을 땅 위에서 다 없애버리리라."""
1	창세기	7	5	노아는 야훼께서 분부하신 대로 다 하였다.
1	창세기	7	6	땅 위에 홍수가 난 것은 노아가 육백 세 되던 해였다.
1	창세기	7	7	노아는 아들들과 아내와 며느리들을 데리고 홍수를 피하여 배에 들어갔다.
1	창세기	7	8	"또 깨끗한 짐승과 부정한 짐승, 그리고 새와 땅 위를 기어 다니는 길짐승도"
1	창세기	7	9	암컷과 수컷 두 쌍씩 노아한테로 와서 배에 들어갔다. 노아는 모든 일을 야훼께서 분부하신 대로 하였다.
1	창세기	7	10	이레가 지나자 폭우가 땅에 쏟아져 홍수가 났다.
1	창세기	7	11	"노아가 육백 세 되던 해 이월 십칠일, 바로 그 날 땅 밑에 있는 큰 물줄기가 모두 터지고 하늘은 구멍이 뚫렸다."
1	창세기	7	12	그래서 사십 일 동안 밤낮으로 땅 위에 폭우가 쏟아졌다.
1	창세기	7	13	"바로 그 날 노아는 자기 아내와 세 아들 셈, 함, 야벳과 세 며느리를 배에 들여보냈다."
1	창세기	7	14	"그리고 그들과 함께 각종 들짐승과 집짐승, 땅 위를 기는 각종 파충류와 날개를 가지고 나는 각종 새들을 들여보냈다."
1	창세기	7	15	몸을 가지고 호흡하는 모든 것이 한 쌍씩 노아와 함께 배에 올랐다.
1	창세기	7	16	그리하여 하느님께서 노아에게 분부하신 대로 모든 짐승의 암컷과 수컷이 짝을 지어 들어갔다. 그리고 노아가 들어가자 야훼께서 문을 닫으셨다.
1	창세기	7	17	땅 위에 사십 일 동안이나 폭우가 쏟아져 배를 띄울 만큼 물이 불어났다. 그리하여 배는 땅에서 높이 떠올랐다.
1	창세기	7	18	물이 불어나 땅은 온통 물에 잠기고 배는 물 위를 떠다녔다.
1	창세기	7	19	물은 점점 불어나 하늘 높이 치솟은 산이 다 잠겼다.
1	창세기	7	20	물은 산들을 잠그고도 열다섯 자나 더 불어났다.
1	창세기	7	21	새나 집짐승이나 들짐승이나 땅 위를 기던 벌레나 사람 등 땅 위에서 움직이던 모든 생물이 숨지고 말았다.
1	창세기	7	22	마른 땅 위에서 코로 숨쉬며 살던 것들이 다 죽고 말았다.
1	창세기	7	23	"이렇게 야훼께서는 사람을 비롯하여 모든 짐승들, 길짐승과 새에 이르기까지 땅 위에서 살던 모든 생물을 쓸어버리셨다. 이렇게 땅에 있던 것이 다 쓸려갔지만, 노아와 함께 배에 있던 사람과 짐승만은 살아 남았다."
1	창세기	7	24	물은 백오십 일 동안이나 땅 위에 괴어 있었다.
1	창세기	8	1	"하느님께서 노아와 배에 있던 모든 들짐승과 집짐승들의 생각이 나셔서 바람을 일으키시니, 물이 삐기 시작하였다."
1	창세기	8	2	땅 밑 큰 물줄기와 하늘 구멍이 막혀 하늘에서 내리던 비가 멎었다.
1	창세기	8	3	그리하여 땅에서 물이 줄어들기 시작한 지 백오십 일이 되던 날인
1	창세기	8	4	칠월 십칠일에 배는 마침내 아라랏 산 등마루에 머물렀다.
1	창세기	8	5	물은 시월이 오기까지 계속 줄어서 마침내 시월 초하루에 산봉우리가 드러났다.
1	창세기	8	6	사십 일 뒤에 노아는 자기가 만든 배의 창을 열고
1	창세기	8	7	까마귀 한 마리를 내보냈다. 그 까마귀는 땅에서 물이 다 마를 때까지 이리저리 날아다녔다.
1	창세기	8	8	노아가 다시 지면에서 물이 얼마나 빠졌는지 알아보려고 비둘기 한 마리를 내보냈다.
1	창세기	8	9	그 비둘기는 발을 붙이고 앉을 곳을 찾지 못하고 그냥 돌아왔다. 물이 아직 온 땅에 뒤덮여 있었던 것이다. 노아는 손을 내밀어 비둘기를 배 안으로 받아들였다.
1	창세기	8	10	노아는 이레를 더 기다리다가 그 비둘기를 다시 배에서 내보냈다.
1	창세기	8	11	비둘기는 저녁때가 되어 되돌아왔는데 부리에 금방 딴 올리브 이파리를 물고 있었다. 그제야 노아는 물이 줄었다는 것을 알았다.
1	창세기	8	12	노아는 다시 이레를 더 기다려 비둘기를 내어보냈다. 비둘기가 이번에는 끝내 돌아오지 않았다.
1	창세기	8	13	"노아가 육백한 살이 되던 해 정월 초하루, 물이 다 빠져 땅은 말라 있었다. 노아가 배 뚜껑을 열고 내다보니, 과연 지면은 말라 있었다."
1	창세기	8	14	"이월 이십칠일, 땅이 다 마르자,"
1	창세기	8	15	하느님께서 노아에게 말씀하셨다.
1	창세기	8	16	너는 아내와 아들들과 며느리들을 데리고 배에서 나오너라.
1	창세기	8	17	"새나 집짐승이나 땅에서 기어 다니는 길짐승까지, 너와 함께 있던 모든 동물을 데리고 나와 땅 위에서 떼 지어 살며 새끼를 많이 낳아 땅 위에 두루 번져나게 하여라."""
1	창세기	8	18	노아는 아내와 아들들과 며느리들을 데리고 배에서 나왔다.
